"","state_name","total_hh","total_population","total_multi_gen","total_hispanic","total_black","total_asian","total_non_white","total_white","total_hispanic_multigen","total_black_multigen","total_asian_multigen","total_non_white_multigen","total_white_multigen","multi_gen_pct","hispanic_multigen_pct","black_multigen_pct","asian_multigen_pct","non_white_multigen","white_multigen"
"11","Georgia",4019406,9704346,754372,240969,1162398,130353,1602526,2156278,62954,282520,31152,389379,364993,0.187682458552333,0.2612535222373,0.243049282603721,0.238981841614692,0.24297827305142,0.169269917886284
"12","Hawaii",503021,1317824,116292,30404,9767,212501,322649,136774,5960,1095,72011,98542,17750,0.231187167136163,0.196026838573872,0.112112214600184,0.338873699417885,0.305415482459267,0.129776127041689
"13","Idaho",660162,1639356,92609,54584,3559,8243,83598,546408,11826,266,1269,16593,76016,0.140282233754745,0.216656895793639,0.0747400955324529,0.153948805046706,0.198485609703581,0.139119485805479
"14","Illinois",5143368,12214517,939861,564912,674996,234819,1544923,3301208,187008,166839,55223,421663,518198,0.182732598561876,0.331039170702694,0.247170353602095,0.235172622317615,0.272934638166433,0.156972235617992
"15","Indiana",2759553,6424344,432659,120337,236671,48292,443416,2126998,27124,45743,8230,86776,345883,0.156785899745357,0.225400334061843,0.193276742820202,0.170421601921643,0.195698847132264,0.162615573686482
"16","Iowa",1364025,3111437,153313,49810,38812,25540,130558,1134906,11086,5900,4412,23499,129814,0.11239750004582,0.222565749849428,0.152014840770896,0.172748629600626,0.179988970419277,0.114383041414884
"17","Kansas",1209456,2832422,160653,92391,63567,26734,211310,917922,19083,10974,5597,39695,120958,0.132830793348414,0.206546092151833,0.172636745481146,0.209358868856138,0.187851971037812,0.131773723693299
"18","Kentucky",1866508,4313470,305321,41462,141005,20683,228189,1506431,7330,26342,3977,41965,263356,0.163578725620249,0.176788384544884,0.186816070352115,0.192283517864913,0.18390457033424,0.174821150122375
"19","Louisiana",1868569,4268790,330424,68864,528555,24290,652137,1087369,12489,126825,5660,151376,179048,0.176832645730503,0.181357458178439,0.239946646990379,0.233017702758337,0.23212300482874,0.164661674187879
"20","Maine",596402,1297618,78031,6283,4366,4296,27074,532849,783,786,437,3988,74043,0.130836248034044,0.124621995861849,0.180027485112231,0.101722532588454,0.147299992612839,0.138956815157765
"21","Maryland",2345795,5718115,474810,138254,647242,123274,960803,1244400,42584,171884,31354,255484,219326,0.20240899140803,0.308012788056765,0.265563730413045,0.254343981699304,0.265906746752456,0.176250401800064
"22","Massachusetts",2866131,6607943,509146,229069,174613,148380,608403,2009093,60594,48369,31309,152678,356468,0.177642264083533,0.264522916675761,0.277006866613597,0.21100552635126,0.250948795453014,0.177427326659343
"23","Michigan",4163352,9660770,706947,135157,528933,102635,850081,3084953,30140,123927,20916,190999,515948,0.169802361174361,0.222999918613168,0.234296215210622,0.203790130072587,0.224683294886017,0.167246632282566
"24","Minnesota",2317553,5453928,289847,75864,116772,75528,319807,1865804,14594,18825,18534,59965,229882,0.125065963971482,0.192370557840346,0.161211591819957,0.245392437241818,0.18750371317701,0.123208011130858
"25","Mississippi",1199366,2779512,231261,21798,401187,9767,446473,657920,4888,107968,1923,118084,113177,0.192819372902017,0.224240756032664,0.269121382298031,0.196887478243063,0.264481838767406,0.172022434338521
"26","Missouri",2589424,5940009,386314,69290,273098,44133,432837,1981675,12717,57955,7131,84516,301798,0.149189163304272,0.183532977341608,0.21221319819259,0.161579770239956,0.195260571531547,0.152294397416327
"27","Montana",456744,1009454,49631,11261,1631,3251,41966,385901,1316,55,239,7861,41770,0.108662620636505,0.116863511233461,0.0337216431637032,0.0735158412796063,0.187318305294762,0.108240196319782
"28","Nebraska",810913,1918635,95485,56326,33570,13895,118465,640719,11925,5616,2447,22329,73156,0.117749992909227,0.211713950928523,0.167292225201072,0.176106513134221,0.188486050732284,0.114177978177641
"29","Nevada",1136371,2779639,214697,229016,99722,85455,454035,644566,67737,20125,23256,118331,96366,0.188932135719761,0.295774094386418,0.2018110346764,0.272143233280674,0.260620877245146,0.149505248492784
"30","New Hampshire",573991,1313115,91145,12598,6604,11391,38031,494010,3149,1297,1938,7530,83615,0.15879168837142,0.249960311160502,0.196396123561478,0.17013431656571,0.197996371381242,0.16925770733386
"31","New Jersey",3415443,8541398,768536,507217,432439,270415,1260173,1971700,160819,119310,71164,362956,405580,0.225017955211081,0.31706153382083,0.275900184765944,0.263165874674112,0.28802077175118,0.205700664401278
"32","New Mexico",823185,1900431,143319,327570,16251,11283,418230,362014,75695,2644,1674,99869,43450,0.174103026658649,0.231080379766157,0.16269768014276,0.14836479659665,0.238789661191211,0.120022982536587
"33","New York",7915533,18840179,1652574,1040852,1094238,530522,2815573,4527669,340286,334355,166024,875854,776720,0.208776086209229,0.326930245606484,0.305559668006412,0.312944609271623,0.31107486824174,0.171549642873629
"34","North Carolina",4242396,9754322,687779,237176,836169,93765,1266304,2699172,54305,190600,19181,284816,402963,0.162120414973048,0.22896498802577,0.227944350962545,0.204564602996854,0.224919134741737,0.149291338232614
