"","state","state_name","county","fips_code","total_hh","total_population","total_multi_gen","total_hispanic","total_black","total_asian","total_non_white","total_white","total_hispanic_multigen","total_black_multigen","total_asian_multigen","total_non_white_multigen","total_white_multigen","multi_gen_pct","hispanic_multigen_pct","black_multigen_pct","asian_multigen_pct","non_white_multigen","white_multigen"
"132","IL","Illinois","Grundy County","17063",20278.228,56887.536,4411.948,2043.46,1077.34,434.92,3762.556,16288.916,765.592,607.56,74.036,1470.76,2941.188,0.217570687142881,0.374654752233956,0.563944530046225,0.170229007633588,0.390893849819112,0.180563764955262
"133","IL","Illinois","Kendall County","17093",40800.772,114460.464,8877.052,4111.54,2167.66,875.08,7570.444,32774.084,1540.408,1222.44,148.964,2959.24,5917.812,0.21757068714288,0.374654752233956,0.563944530046225,0.170229007633588,0.390893849819112,0.180563764955262
"134","MI","Michigan","Macomb County","26099",355222,853535,77284,6120,38883,10278,61149,285245,1480,9919,3681,16509,60775,0.21756535349725,0.241830065359477,0.255098629220996,0.358143607705779,0.26997988519845,0.213062455082473
"135","MA","Massachusetts","Plymouth County","25023",204493.794,503580.922,44484.997,4411.891,13061.399,2907.962,26109.86,164932.863,1148.122,3896.792,749.694,7635.899,36849.098,0.217537149318086,0.260233537047946,0.29834415134244,0.257807357867813,0.292452697946293,0.223418773734619
"136","GA","Georgia","Heard County","13149",4700.262,11358.193,1021.734,104.125,1435.735,49.028,1651.72,2808.519,25.585,391.629,19.516,449.463,572.271,0.217378095093422,0.245714285714286,0.27277248238707,0.398058252427184,0.272118155619597,0.203762552434219
"137","GA","Georgia","Troup County","13285",25673.7,62040.55,5580.9,568.75,7842.25,267.8,9022,15340.65,139.75,2139.15,106.6,2455.05,3125.85,0.217378095093422,0.245714285714286,0.27277248238707,0.398058252427184,0.272118155619597,0.203762552434219
"138","GA","Georgia","Meriwether County","13199",9124.038,22048.257,1983.366,202.125,2787.015,95.172,3206.28,5451.831,49.665,760.221,37.884,872.487,1110.879,0.217378095093422,0.245714285714286,0.27277248238707,0.398058252427184,0.272118155619597,0.203762552434219
"139","NJ","New Jersey","Somerset County","34035",122839,313425,26627,12993,11702,18809,44938,73255,4018,3470,4474,12364,14263,0.216763405758757,0.309243438774725,0.296530507605538,0.237864851932585,0.275134629934577,0.19470343321275
"140","TX","Texas","Nueces County","48355",137920,345855,29881,74462,5054,2756,83850,45600,20350,879,736,22229,7652,0.216654582366589,0.273293760575864,0.173921646220815,0.267053701015965,0.26510435301133,0.16780701754386
"141","MS","Mississippi","Tate County","28137",10475.675,24552.465,2266.348,97.65,4962.139,27.559,5179.79,4134.067,21.049,1383.158,14.756,1441.531,824.817,0.216343863283273,0.215555555555556,0.278742292386408,0.535433070866142,0.278299120234604,0.199517085717285
"142","MS","Mississippi","Tunica County","28143",4586.125,10748.775,992.18,42.75,2172.365,12.065,2267.65,1809.845,9.215,605.53,6.46,631.085,361.095,0.216343863283273,0.215555555555556,0.278742292386408,0.535433070866142,0.278299120234604,0.199517085717285
"143","MS","Mississippi","Coahoma County","28027",10330.85,24213.03,2235.016,96.3,4893.538,27.178,5108.18,4076.914,20.758,1364.036,14.552,1421.602,813.414,0.216343863283273,0.215555555555556,0.278742292386408,0.535433070866142,0.278299120234604,0.199517085717285
"144","MS","Mississippi","Panola County","28107",14096.3,33038.34,3049.648,131.4,6677.164,37.084,6970.04,5562.892,28.324,1861.208,19.856,1939.756,1109.892,0.216343863283273,0.215555555555556,0.278742292386408,0.535433070866142,0.278299120234604,0.199517085717285
"145","MS","Mississippi","Quitman County","28119",3427.525,8033.295,741.524,31.95,1623.557,9.017,1694.77,1352.621,6.887,452.554,4.828,471.653,269.871,0.216343863283273,0.215555555555556,0.278742292386408,0.535433070866142,0.278299120234604,0.199517085717285
