"","state","state_name","county","fips_code","total_hh","total_population","total_multi_gen","total_hispanic","total_black","total_asian","total_non_white","total_white","total_hispanic_multigen","total_black_multigen","total_asian_multigen","total_non_white_multigen","total_white_multigen","multi_gen_pct","hispanic_multigen_pct","black_multigen_pct","asian_multigen_pct","non_white_multigen","white_multigen"
"434","GA","Georgia","Upson County","13293",11925.568,27138.466,2312.674,230.278,2813,71.586,3260.946,7487.624,39.382,798.31,25.802,890.654,1422.02,0.193925689744924,0.171019376579612,0.283793103448276,0.360433604336043,0.273127491224939,0.189916053477044
"435","TN","Tennessee","Rutherford County","47149",116462,305086,22582,6265,16625,2750,27925,83752,1754,3617,1240,6810,15772,0.193900156274149,0.279968076616121,0.217563909774436,0.450909090909091,0.243867502238138,0.188317890916038
"436","TN","Tennessee","Anderson County","47001",31374.2,74615.97,6076.785,466.895,976.69,386.815,2278.705,28040.87,52.195,165.165,18.59,373.23,5703.555,0.193687329079307,0.111791730474732,0.169106881405564,0.0480591497227357,0.163790398493881,0.203401499311541
"437","TN","Tennessee","Union County","47173",8117.8,19306.23,1572.315,120.805,252.71,100.085,589.595,7255.33,13.505,42.735,4.81,96.57,1475.745,0.193687329079307,0.111791730474732,0.169106881405564,0.0480591497227357,0.163790398493881,0.203401499311541
"438","TX","Texas","Hardin County","48199",20907.12,51868.83,4049.37,920.4,1654.38,140.79,2998.32,17406.09,270.66,269.88,40.56,652.86,3396.51,0.193683778540516,0.29406779661017,0.163130598774163,0.28808864265928,0.217741935483871,0.195133427438328
"439","TX","Texas","Orange County","48361",32700.88,81128.17,6333.63,1439.6,2587.62,220.21,4689.68,27224.91,423.34,422.12,63.44,1021.14,5312.49,0.193683778540516,0.29406779661017,0.163130598774163,0.28808864265928,0.217741935483871,0.195133427438328
"440","TX","Texas","Galveston County","48167",127705,318767,24722,22516,15095,3547,43661,77778,6649,3662,1125,11867,12855,0.193586782036725,0.295301119204121,0.242596886386221,0.317169438962504,0.271798630356611,0.165278099205431
"441","KY","Kentucky","Bullitt County","21029",30694.488,77783.322,5937.306,415.206,406.119,104.85,1296.645,28310.199,106.248,57.318,37.746,255.834,5681.472,0.193432319183822,0.255892255892256,0.141135972461274,0.36,0.197304582210243,0.200686402804869
"442","KY","Kentucky","Spencer County","21215",7025.92,17804.48,1359.04,95.04,92.96,24,296.8,6480.16,24.32,13.12,8.64,58.56,1300.48,0.193432319183822,0.255892255892256,0.141135972461274,0.36,0.197304582210243,0.200686402804869
"443","CA","California","Santa Barbara County","06083",165804,428517,32042,49159,2938,7237,63222,82636,17787,724,1420,20568,11474,0.193252273769028,0.3618259118371,0.24642614023145,0.196213900787619,0.325329790262883,0.138849895929135
"444","AR","Arkansas","Mississippi County","05093",18186.922,43047.639,3513.876,351.742,6373.441,110.307,7655.04,9777.01,62.02,1468.988,38.098,1714.41,1799.466,0.193208944317241,0.17632241813602,0.230485855286022,0.345381526104418,0.223958333333333,0.184050747621205
"445","AR","Arkansas","Crittenden County","05035",19090.11,45185.445,3688.38,369.21,6689.955,115.785,8035.2,10262.55,65.1,1541.94,39.99,1799.55,1888.83,0.193208944317241,0.17632241813602,0.230485855286022,0.345381526104418,0.223958333333333,0.184050747621205
"446","PA","Pennsylvania","Northampton County","42095",125333.992,293976.192,24201.968,11884.064,4639.744,2071.344,20088.024,94262.024,3335.736,1212.816,831.376,5739.096,18462.872,0.193099793709595,0.280689838089058,0.261397180534098,0.401370318015742,0.28569738865306,0.195867553194063
"447","MO","Missouri","Franklin County","29071",41704,104263,8049,564,282,89,1557,39386,43,129,27,285,7764,0.193003069249952,0.076241134751773,0.457446808510638,0.303370786516854,0.183044315992293,0.197125882293201
"448","LA","Louisiana","Tangipahoa Parish","22105",49679.168,116490.88,9582.848,1431.232,12256.64,164.032,14429.184,31478.656,225.984,3600.256,65.472,4042.368,5540.48,0.192894695820993,0.157894736842105,0.293739230327398,0.399141630901288,0.280152224824356,0.176007514425012
"449","LA","Louisiana","Washington Parish","22117",20887.832,48979.12,4029.152,601.768,5153.36,68.968,6066.816,13235.344,95.016,1513.744,27.528,1699.632,2329.52,0.192894695820993,0.157894736842105,0.293739230327398,0.399141630901288,0.280152224824356,0.176007514425012
"450","OH","Ohio","Fairfield County","39045",59177,150019,11414,1063,3284,663,5914,50425,135,842,240,1394,10020,0.192878990148199,0.126999059266228,0.256394640682095,0.361990950226244,0.235711870138654,0.198710956866634
"451","TN","Tennessee","Hawkins County","47073",24223.518,53888.461,4670.061,219.725,585.761,120.461,1229.943,22250.646,27.918,111.155,43.428,278.146,4391.915,0.192790370085798,0.127058823529412,0.189761694616064,0.360515021459228,0.226145439260193,0.197383707421349
"452","AL","Alabama","Greene County","01063",4071.976,8626.326,784.707,16.669,2162.467,10.823,2210.025,1505.661,0.237,519.662,2.765,530.327,254.38,0.192709141704175,0.014218009478673,0.240309794322873,0.255474452554745,0.239964253798034,0.168949052940868
"453","AL","Alabama","Hale County","01065",6185.28,13103.28,1191.96,25.32,3284.76,16.44,3357,2287.08,0.36,789.36,4.2,805.56,386.4,0.192709141704175,0.014218009478673,0.240309794322873,0.255474452554745,0.239964253798034,0.168949052940868
"454","AL","Alabama","Sumter County","01119",5515.208,11683.758,1062.831,22.577,2928.911,14.659,2993.325,2039.313,0.321,703.846,3.745,718.291,344.54,0.192709141704175,0.014218009478673,0.240309794322873,0.255474452554745,0.239964253798034,0.168949052940868
"455","AL","Alabama","Bibb County","01007",7267.704,15396.354,1400.553,29.751,3859.593,19.317,3944.475,2687.319,0.423,927.498,4.935,946.533,454.02,0.192709141704175,0.014218009478673,0.240309794322873,0.255474452554745,0.239964253798034,0.168949052940868
"456","AL","Alabama","Dallas County","01047",16390.992,34723.692,3158.694,67.098,8704.614,43.566,8896.05,6060.762,0.954,2091.804,11.13,2134.734,1023.96,0.192709141704175,0.014218009478673,0.240309794322873,0.255474452554745,0.239964253798034,0.168949052940868
"457","AL","Alabama","Marengo County","01091",8298.584,17580.234,1599.213,33.971,4407.053,22.057,4503.975,3068.499,0.483,1059.058,5.635,1080.793,518.42,0.192709141704175,0.014218009478673,0.240309794322873,0.255474452554744,0.239964253798034,0.168949052940868
"458","AL","Alabama","Perry County","01105",3814.256,8080.356,735.042,15.614,2025.602,10.138,2070.15,1410.366,0.222,486.772,2.59,496.762,238.28,0.192709141704175,0.014218009478673,0.240309794322873,0.255474452554744,0.239964253798034,0.168949052940868
"459","OR","Oregon","Marion County","41047",128697,323380,24766,20695,1240,2579,28335,89703,6300,119,806,8091,16675,0.19243649813127,0.304421357815898,0.0959677419354839,0.312524234199302,0.285547908946533,0.185891218799817
"460","VA","Virginia","Isle of Wight County","51093",15052.608,37342.352,2895.648,349.68,5446.328,183.52,6272.168,8222.192,9.672,1339.448,41.912,1428.728,1466.92,0.192368525108739,0.0276595744680851,0.245935977414508,0.228378378378378,0.227788541378356,0.178409844965917
"461","VA","Virginia","Southampton County","51175",7708.392,19122.898,1482.852,179.07,2789.047,93.98,3211.957,4210.558,4.953,685.927,21.463,731.647,751.205,0.192368525108739,0.0276595744680851,0.245935977414508,0.228378378378378,0.227788541378356,0.178409844965917
"462","VA","Virginia","Suffolk city","51800",33989.76,84321.44,6538.56,789.6,12298.16,414.4,14162.96,18566.24,21.84,3024.56,94.64,3226.16,3312.4,0.192368525108739,0.0276595744680851,0.245935977414508,0.228378378378378,0.227788541378356,0.178409844965917
"463","VA","Virginia","Franklin city","51620",4005.936,9937.884,770.616,93.06,1449.426,48.84,1669.206,2188.164,2.574,356.466,11.154,380.226,390.39,0.192368525108739,0.0276595744680851,0.245935977414508,0.228378378378378,0.227788541378356,0.178409844965917
"464","GA","Georgia","Catoosa County","13047",25448.53,59735.85,4895.45,372.395,878.27,122.12,1605.31,21898.53,107.92,127.445,36.565,324.47,4570.98,0.192366710375806,0.289799809342231,0.145109135004042,0.299418604651163,0.202122954444936,0.208734558895049
"465","GA","Georgia","Chattooga County","13055",10466.156,24567.42,2013.34,153.154,361.204,50.224,660.212,9006.156,44.384,52.414,15.038,133.444,1879.896,0.192366710375806,0.289799809342231,0.145109135004042,0.299418604651163,0.202122954444936,0.208734558895049
"466","GA","Georgia","Dade County","13083",6953.542,16322.19,1337.63,101.753,239.978,33.368,438.634,5983.542,29.488,34.823,9.991,88.658,1248.972,0.192366710375806,0.289799809342231,0.145109135004042,0.299418604651163,0.202122954444936,0.208734558895049
"467","GA","Georgia","Walker County","13295",28746.086,67476.27,5529.79,420.649,992.074,137.944,1813.322,24736.086,121.904,143.959,41.303,366.514,5163.276,0.192366710375806,0.289799809342231,0.145109135004042,0.299418604651163,0.202122954444936,0.208734558895049
"468","CT","Connecticut","New Haven County","09009",358679,802111,68983,46208,42863,11685,106632,223940,11296,11020,2143,25647,43336,0.192325170974604,0.244459833795014,0.257098196579801,0.183397518185708,0.240518793607923,0.19351612038939
"469","NJ","New Jersey","Warren County","34041",43663,102511,8391,2622,1609,766,5645,35942,803,424,216,1544,6847,0.192176442296681,0.306254767353166,0.263517712865134,0.281984334203655,0.273516386182462,0.190501363307551
"470","TN","Tennessee","Sumner County","47165",68595,171419,13170,2166,4416,732,8301,58788,592,1006,264,2018,11152,0.191996501202712,0.27331486611265,0.227807971014493,0.360655737704918,0.243103240573425,0.189698577941076
"471","GA","Georgia","Cherokee County","13057",89778,238753,17225,7223,6021,1273,15945,72192,1672,1214,273,3426,13799,0.191862148856067,0.231482763394711,0.201627636605215,0.214454045561665,0.21486359360301,0.191143062943262
"472","GA","Georgia","Fannin County","13111",13544.574,33778.923,2591.297,1005.997,180.686,70.861,1657.498,11564.859,259.951,49.278,13.179,403.583,2187.714,0.191316242208873,0.258401367002088,0.272727272727273,0.185983827493261,0.243489283244987,0.189169102710202
"473","GA","Georgia","Gilmer County","13123",13899.144,34663.188,2659.132,1032.332,185.416,72.716,1700.888,11867.604,266.756,50.568,13.524,414.148,2244.984,0.191316242208873,0.258401367002088,0.272727272727273,0.185983827493261,0.243489283244987,0.189169102710202
"474","GA","Georgia","Gordon County","13129",18650.382,46512.339,3568.121,1385.221,248.798,97.573,2282.314,15924.387,357.943,67.854,18.147,555.719,3012.402,0.191316242208873,0.258401367002088,0.272727272727273,0.185983827493261,0.243489283244987,0.189169102710202
"475","GA","Georgia","Murray County","13213",13402.746,33425.217,2564.163,995.463,178.794,70.119,1640.142,11443.761,257.229,48.762,13.041,399.357,2164.806,0.191316242208873,0.258401367002088,0.272727272727273,0.185983827493261,0.243489283244987,0.189169102710202
"476","GA","Georgia","Pickens County","13227",11488.068,28650.186,2197.854,853.254,153.252,60.102,1405.836,9808.938,220.482,41.796,11.178,342.306,1855.548,0.191316242208873,0.258401367002088,0.272727272727273,0.185983827493261,0.243489283244987,0.189169102710202
"477","MI","Michigan","Monroe County","26115",61450,146621,11754,1652,1394,291,4148,55781,345,251,49,687,11067,0.191277461350692,0.208837772397094,0.180057388809182,0.168384879725086,0.165621986499518,0.19840088919166
"478","IL","Illinois","Lake County","17097",264176,679353,50509,37039,16894,17603,75154,170986,13172,3532,3754,21387,29122,0.191194506692508,0.355625151866951,0.209068308275127,0.213259103561893,0.284575671288288,0.170318037734083
"479","IN","Indiana","Ohio County","18115",2635.024,6613.6,503.216,18.928,12.6,8.008,58.408,2486.96,4.088,0.784,4.144,10.416,492.8,0.19097207463765,0.215976331360947,0.0622222222222222,0.517482517482517,0.178331735378715,0.198153569015987
"480","IN","Indiana","Ripley County","18137",11387.068,28580.2,2174.612,81.796,54.45,34.606,252.406,10747.22,17.666,3.388,17.908,45.012,2129.6,0.19097207463765,0.215976331360947,0.0622222222222222,0.517482517482518,0.178331735378715,0.198153569015987
"481","IN","Indiana","Dearborn County","18029",19198.032,48184.8,3666.288,137.904,91.8,58.344,425.544,18119.28,29.784,5.712,30.192,75.888,3590.4,0.19097207463765,0.215976331360947,0.0622222222222222,0.517482517482518,0.178331735378715,0.198153569015987
"482","IN","Indiana","Franklin County","18047",9081.422,22793.3,1734.298,65.234,43.425,27.599,201.299,8571.13,14.089,2.702,14.282,35.898,1698.4,0.19097207463765,0.215976331360947,0.0622222222222222,0.517482517482518,0.178331735378715,0.198153569015987
"483","IN","Indiana","Switzerland County","18155",4752.454,11928.1,907.586,34.138,22.725,14.443,105.343,4485.41,7.373,1.414,7.474,18.786,888.8,0.19097207463765,0.215976331360947,0.0622222222222222,0.517482517482518,0.178331735378715,0.198153569015987
"484","OK","Oklahoma","Grady County","40051",21246.12,54146.736,4051.152,850.752,333.144,155.736,3138.912,17549.784,317.016,74.088,96.264,826.056,3225.096,0.190677262483691,0.372630331753555,0.222390317700454,0.618122977346278,0.263166345536288,0.183768415611269
"485","OK","Oklahoma","McClain County","40087",13405.29,34164.012,2556.084,536.784,210.198,98.262,1980.504,11073.078,200.022,46.746,60.738,521.202,2034.882,0.190677262483691,0.372630331753554,0.222390317700454,0.618122977346278,0.263166345536288,0.183768415611269
"486","SC","South Carolina","Cherokee County","45021",21079.02,45881.277,4017.489,510.195,5864.7,18.645,6607.11,13595.595,158.313,1438.377,1.356,1639.404,2378.085,0.190591830170473,0.310299003322259,0.245260115606936,0.0727272727272727,0.248127244740893,0.174915845904501
"487","SC","South Carolina","Union County","45087",12436,27068.6,2370.2,301,3460,11,3898,8021,93.4,848.6,0.8,967.2,1403,0.190591830170473,0.310299003322259,0.245260115606936,0.0727272727272727,0.248127244740893,0.174915845904501
"488","SC","South Carolina","Chester County","45023",12933.44,28151.344,2465.008,313.04,3598.4,11.44,4053.92,8341.84,97.136,882.544,0.832,1005.888,1459.12,0.190591830170473,0.310299003322259,0.245260115606936,0.0727272727272727,0.248127244740893,0.174915845904501
"489","SC","South Carolina","Newberry County","45071",15731.54,34241.779,2998.303,380.765,4376.9,13.915,4930.97,10146.565,118.151,1073.479,1.012,1223.508,1774.795,0.190591830170473,0.310299003322259,0.245260115606936,0.0727272727272727,0.248127244740893,0.174915845904501
"490","NM","New Mexico","Valencia County","35061",28435.1,66792.62,5416.968,12170.44,240.368,226.612,14308.412,13099.332,2864.868,123.804,44.164,3473.752,1943.216,0.190502864417568,0.235395597858418,0.515060240963855,0.194888178913738,0.242776906340131,0.148344663682087
"491","TN","Tennessee","Hickman County","47081",10217.001,25165.962,1945.236,305.688,412.425,30.315,885.762,8792.055,23.97,113.928,10.152,195.144,1750.092,0.190392072977188,0.0784132841328413,0.276239316239316,0.334883720930233,0.22031200254696,0.199053804827199
"492","TN","Tennessee","Cheatham County","47021",15579.115,38373.63,2966.14,466.12,628.875,46.225,1350.63,13406.325,36.55,173.72,15.48,297.56,2668.58,0.190392072977188,0.0784132841328413,0.276239316239316,0.334883720930233,0.22031200254696,0.199053804827199
"493","TN","Tennessee","Dickson County","47043",20723.846,51045.852,3945.656,620.048,836.55,61.49,1796.652,17833.53,48.62,231.088,20.592,395.824,3549.832,0.190392072977188,0.0784132841328413,0.276239316239316,0.334883720930233,0.22031200254696,0.199053804827199
"494","TN","Tennessee","Robertson County","47147",25941.038,63896.556,4938.968,776.144,1047.15,76.97,2248.956,22323.09,60.86,289.264,25.776,495.472,4443.496,0.190392072977188,0.0784132841328413,0.276239316239316,0.334883720930233,0.22031200254696,0.199053804827199
"495","NC","North Carolina","Caswell County","37033",10651.848,24097.674,2027.452,349.17,2810.252,58.298,3373.868,6189.476,72.1,715.644,21.836,881.68,1145.772,0.190338052138934,0.206489675516224,0.254654742706348,0.374558303886926,0.261326169251435,0.185116155228649
"496","NC","North Carolina","Person County","37145",18201.216,41176.608,3464.384,596.64,4801.984,99.616,5765.056,10576.192,123.2,1222.848,37.312,1506.56,1957.824,0.190338052138934,0.206489675516224,0.254654742706348,0.374558303886926,0.261326169251435,0.185116155228649
"497","NC","North Carolina","Granville County","37077",22854.936,51704.718,4350.164,749.19,6029.764,125.086,7239.076,13280.332,154.7,1535.508,46.852,1891.76,2458.404,0.190338052138934,0.206489675516224,0.254654742706348,0.374558303886926,0.261326169251435,0.185116155228649
"498","NC","North Carolina","Randolph County","37151",57892,138090,11018,3835,3577,484,8717,47824,1109,849,145,2302,8716,0.190319906031922,0.289178617992177,0.237349734414314,0.299586776859504,0.264081679476884,0.182251589160254
"499","GA","Georgia","Banks County","13011",6689.355,15644.739,1272.681,279.579,473.919,75.891,903.558,5213.847,104.919,126.69,34.071,279.702,992.979,0.190254665808587,0.37527496700396,0.267324162989878,0.448946515397083,0.309556221072693,0.190450352685838
"500","GA","Georgia","Franklin County","13119",9245.45,21622.81,1758.99,386.41,655.01,104.89,1248.82,7206.13,145.01,175.1,47.09,386.58,1372.41,0.190254665808587,0.37527496700396,0.267324162989878,0.448946515397083,0.309556221072693,0.190450352685838
"501","GA","Georgia","Habersham County","13137",15934.805,37267.549,3031.671,665.989,1128.929,180.781,2152.378,12419.977,249.929,301.79,81.161,666.282,2365.389,0.190254665808587,0.37527496700396,0.267324162989878,0.448946515397083,0.309556221072693,0.190450352685838
"502","GA","Georgia","Stephens County","13257",11094.54,25947.372,2110.788,463.692,786.012,125.868,1498.584,8647.356,174.012,210.12,56.508,463.896,1646.892,0.190254665808587,0.37527496700396,0.267324162989878,0.448946515397083,0.309556221072693,0.190450352685838
"503","GA","Georgia","Hart County","13147",11420.85,26710.53,2172.87,477.33,809.13,129.57,1542.66,8901.69,179.13,216.3,58.17,477.54,1695.33,0.190254665808587,0.37527496700396,0.267324162989878,0.448946515397083,0.309556221072693,0.190450352685838
"504","TN","Tennessee","Shelby County","47157",368360,849731,69955,13934,185165,7671,211843,139351,2844,43896,1692,49341,20614,0.189909327831469,0.204105066743218,0.23706424000216,0.220570981619085,0.232913053534929,0.147928611922412
"505","TN","Tennessee","Jefferson County","47089",17925.76,43184.032,3397.488,571.576,155.104,144.152,1117.4,15862.64,70.152,55.648,14.208,189.44,3208.048,0.189531043593131,0.122734334541688,0.358778625954198,0.0985626283367557,0.16953642384106,0.202239223735772
"506","TN","Tennessee","Sevier County","47155",42634.24,102707.968,8080.512,1359.424,368.896,342.848,2657.6,37727.36,166.848,132.352,33.792,450.56,7629.952,0.189531043593131,0.122734334541688,0.358778625954199,0.0985626283367557,0.16953642384106,0.202239223735772
"507","NC","North Carolina","Davie County","37059",16706.037,40962.39,3165.222,832.767,779.712,64.845,1928.844,14522.529,264.096,224.796,35.763,617.01,2548.212,0.189465760191959,0.317130722038697,0.288306451612903,0.551515151515152,0.319885900570497,0.175466132654994
"508","NC","North Carolina","Yadkin County","37197",15898.366,38982.02,3012.196,792.506,742.016,61.71,1835.592,13820.422,251.328,213.928,34.034,587.18,2425.016,0.189465760191959,0.317130722038698,0.288306451612903,0.551515151515152,0.319885900570497,0.175466132654994
"509","NC","North Carolina","McDowell County","37111",19385.588,44084.655,3672.626,776.448,747.803,390.583,2167.247,15799.234,166.815,160.412,124.69,504.152,3168.474,0.189451359432585,0.21484375,0.214511041009464,0.319240724762727,0.23262323122376,0.200546051789599
"510","NC","North Carolina","Burke County","37023",38138.412,86730.345,7225.374,1527.552,1471.197,768.417,4263.753,31082.766,328.185,315.588,245.31,991.848,6233.526,0.189451359432585,0.21484375,0.214511041009464,0.319240724762726,0.23262323122376,0.200546051789599
"511","DE","Delaware","New Castle County","10003",222767,512623,42175,14377,50160,10339,78298,127531,3899,11895,1968,18613,23562,0.189323373749254,0.2711970508451,0.237141148325359,0.190347228938969,0.237719992847838,0.184755079157225
"512","OH","Ohio","Lawrence County","39087",25594.326,58043.397,4844.139,142.593,431.355,139.017,1058.049,22668.264,15.645,92.082,0,182.376,4661.763,0.189266128750568,0.109717868338558,0.213471502590674,0,0.172370088719899,0.205651522322133
"513","OH","Ohio","Scioto County","39145",31663.674,71807.603,5992.861,176.407,533.645,171.983,1308.951,28043.736,19.355,113.918,0,225.624,5767.237,0.189266128750568,0.109717868338558,0.213471502590674,0,0.172370088719899,0.205651522322133
"514","PA","Pennsylvania","Lehigh County","42077",144907.318,350434.24,27381.552,24122.966,8759.532,3919.752,38556.582,95819.038,6983.454,2312.442,852.912,10377.168,17004.384,0.188959069686184,0.289494003349339,0.263991500915802,0.217593357947135,0.269141284359698,0.17746352243695
"515","LA","Louisiana","Vermilion Parish","22113",22998.138,57833.238,4345.05,421.806,3326.64,172.806,4202.124,17870.232,58.764,835.146,81.672,1070.7,3274.35,0.188930512548451,0.139315230224321,0.251047904191617,0.472622478386167,0.254799715572411,0.183229294393044
"516","LA","Louisiana","Acadia Parish","22001",23182.862,58297.762,4379.95,425.194,3353.36,174.194,4235.876,18013.768,59.236,841.854,82.328,1079.3,3300.65,0.188930512548451,0.139315230224321,0.251047904191617,0.472622478386167,0.25479971557241,0.183229294393044
"517","AL","Alabama","Jefferson County","01073",276963,621389,52305,6298,111877,3619,125598,135520,1072,28954,779,31526,20779,0.18885194051191,0.170212765957447,0.2588020772813,0.215252832274109,0.25100718164302,0.153327922077922
"518","NC","North Carolina","Cabarrus County","37025",72507.499,187338.646,13676.715,4352.426,12005.974,2412.777,19703.198,50427.218,1115.289,3239.452,470.849,5025.505,8651.21,0.188624834515393,0.256245367526065,0.269820007939381,0.19514816329897,0.255060371417878,0.171558343749996
"519","MD","Maryland","Frederick County","24021",97184,249770,18320,5614,7812,3459,18944,73582,1408,1754,651,4185,14135,0.188508396443859,0.250801567509797,0.22452636968766,0.188204683434519,0.220914273648649,0.19209861107336
"520","MS","Mississippi","George County","28039",8702.7,20907.6,1638.15,197.55,946.2,48.15,1345.8,6901.35,32.1,202.5,1.95,272.25,1365.9,0.18823468578717,0.162490508731967,0.214013950538998,0.0404984423676012,0.202296032099866,0.19791779869156
"521","MS","Mississippi","Pearl River County","28109",22336.93,53662.84,4204.585,507.045,2428.58,123.585,3454.22,17713.465,82.39,519.75,5.005,698.775,3505.81,0.18823468578717,0.162490508731967,0.214013950538998,0.0404984423676012,0.202296032099866,0.19791779869156
"522","MS","Mississippi","Hancock County","28045",20364.318,48923.784,3833.271,462.267,2214.108,112.671,3149.172,16149.159,75.114,473.85,4.563,637.065,3196.206,0.188234685787169,0.162490508731967,0.214013950538998,0.0404984423676012,0.202296032099866,0.19791779869156
"523","MS","Mississippi","Stone County","28131",6672.07,16029.16,1255.915,151.455,725.42,36.915,1031.78,5291.035,24.61,155.25,1.495,208.725,1047.19,0.188234685787169,0.162490508731967,0.214013950538998,0.0404984423676013,0.202296032099866,0.19791779869156
"524","NC","North Carolina","Rockingham County","37157",39364.596,90407.502,7401.258,1252.746,5365.962,76.59,7202.124,30736.566,251.748,1428.57,40.626,1805.526,5595.732,0.188018136906575,0.200956937799043,0.266228124612139,0.530434782608696,0.250693545404106,0.182054560031202
"525","NC","North Carolina","Stokes County","37169",19741.404,45339.498,3711.742,628.254,2691.038,38.41,3611.876,15414.434,126.252,716.43,20.374,905.474,2806.268,0.188018136906575,0.200956937799043,0.266228124612139,0.530434782608696,0.250693545404106,0.182054560031202
"526","FL","Florida","Hernando County","12053",77435,177308,14559,8259,3458,700,13585,61763,1885,785,159,3100,11459,0.18801575514948,0.228235863906042,0.22700983227299,0.227142857142857,0.228192859771807,0.185531790878034
"527","SC","South Carolina","Dorchester County","45035",59754.08,142261.384,11226.174,2504.209,15376.186,797.173,20309.197,36652.279,432.006,3642.916,196.041,4486.956,6739.218,0.187872928509652,0.172511958866053,0.236919350481322,0.245920270756787,0.220932221003125,0.183869003070723
"528","WA","Washington","Clark County","53011",178708,461575,33546,10848,3138,8275,28568,146093,2814,569,1987,6358,27188,0.187714036305034,0.259402654867257,0.181325685149777,0.24012084592145,0.222556706804817,0.186100634527322
"529","FL","Florida","Santa Rosa County","12113",69637,172366,13070,2393,2689,1174,7978,55536,542,742,275,1902,11168,0.187687579878513,0.226493940660259,0.275939010784678,0.234241908006814,0.238405615442467,0.201094785364448
"530","SC","South Carolina","Lexington County","45063",114411.128,276109.256,21466.08,4742.784,17123.392,1722.808,25346.784,85699.112,861.896,4129.76,419.104,5659.496,15806.584,0.187622308906875,0.181727862791137,0.241176514559732,0.243267967179163,0.223282606582358,0.18444279796038
"531","WV","West Virginia","Putnam County","54079",20696.016,49918.704,3882.912,80.784,211.728,135.168,554.928,19906.656,11.616,35.904,81.84,152.064,3730.848,0.187616399214226,0.143790849673203,0.169576059850374,0.60546875,0.274024738344434,0.187417113150496
"532","WV","West Virginia","Boone County","54005",9760.053,23541.207,1831.146,38.097,99.849,63.744,261.699,9387.798,5.478,16.932,38.595,71.712,1759.434,0.187616399214226,0.143790849673203,0.169576059850374,0.60546875,0.274024738344434,0.187417113150496
"533","WV","West Virginia","Lincoln County","54043",8740.931,21083.089,1639.942,34.119,89.423,57.088,234.373,8407.546,4.906,15.164,34.565,64.224,1575.718,0.187616399214226,0.143790849673203,0.169576059850374,0.60546875,0.274024738344434,0.187417113150496
"534","SC","South Carolina","Chesterfield County","45025",21693.42,49655.916,4069.764,680.076,5385.528,154.224,6498.144,13399.344,200.88,1482.3,20.736,1782.324,2287.44,0.187603614367859,0.295378751786565,0.275237636866803,0.134453781512605,0.274282010370961,0.170712834896992
"535","SC","South Carolina","Lancaster County","45057",33008.815,75556.687,6192.573,1034.807,8194.646,234.668,9887.608,20388.508,305.66,2255.475,31.552,2711.993,3480.58,0.187603614367859,0.295378751786565,0.275237636866803,0.134453781512605,0.274282010370961,0.170712834896992
"536","SC","South Carolina","Marlboro County","45069",12185.81,27893.138,2286.102,382.018,3025.204,86.632,3650.192,7526.792,112.84,832.65,11.648,1001.182,1284.92,0.187603614367859,0.295378751786565,0.275237636866803,0.134453781512605,0.274282010370961,0.170712834896992
"537","KY","Kentucky","Martin County","21159",4608.35,10384.864,864.394,23.754,18.278,12.58,82.288,4236.5,7.4,2.072,1.998,15.17,849.224,0.187571256523485,0.311526479750779,0.11336032388664,0.158823529411765,0.184352517985612,0.200454148471616
"538","KY","Kentucky","Johnson County","21115",9403.525,21190.736,1763.831,48.471,37.297,25.67,167.912,8644.75,15.1,4.228,4.077,30.955,1732.876,0.187571256523485,0.311526479750779,0.11336032388664,0.158823529411765,0.184352517985612,0.200454148471616
"539","KY","Kentucky","Magoffin County","21153",5293.375,11928.56,992.885,27.285,20.995,14.45,94.52,4866.25,8.5,2.38,2.295,17.425,975.46,0.187571256523485,0.311526479750779,0.11336032388664,0.158823529411765,0.184352517985612,0.200454148471616
"540","KY","Kentucky","Pike County","21195",26902.8,60625.152,5046.192,138.672,106.704,73.44,480.384,24732,43.2,12.096,11.664,88.56,4957.632,0.187571256523485,0.311526479750779,0.11336032388664,0.158823529411765,0.184352517985612,0.200454148471616
"541","KY","Kentucky","Floyd County","21071",16129.225,36347.024,3025.379,83.139,63.973,44.03,288.008,14827.75,25.9,7.252,6.993,53.095,2972.284,0.187571256523485,0.311526479750779,0.11336032388664,0.158823529411765,0.184352517985612,0.200454148471616
"542","MD","Maryland","Anne Arundel County","24003",226420,557183,42453,10695,33521,6568,55693,154120,3033,7497,2069,13442,29011,0.187496687571769,0.2835904628331,0.223650845738492,0.315012180267966,0.241358878135493,0.188236439138334
"543","TX","Texas","San Patricio County","48409",24596.562,58195.818,4609.206,9419.058,353.25,150.72,10134.978,10241.895,2772.306,115.395,42.861,2944.221,1664.985,0.187392286775688,0.294329432943294,0.326666666666667,0.284375,0.290500975927131,0.162566107151069
"544","TX","Texas","Aransas County","48007",14256.606,33731.334,2671.578,5459.454,204.75,87.36,5874.414,5936.385,1606.878,66.885,24.843,1706.523,965.055,0.187392286775688,0.294329432943294,0.326666666666667,0.284375,0.290500975927131,0.162566107151069
"545","TX","Texas","Bee County","48025",9869.958,23352.462,1849.554,3779.622,141.75,60.48,4066.902,4109.805,1112.454,46.305,17.199,1181.439,668.115,0.187392286775688,0.294329432943294,0.326666666666667,0.284375,0.290500975927131,0.162566107151069
